artist,album,track_name,energy,valence,danceability,speechiness,acousticness,popularity,duration
Vidas Bareikis,Kai aš verkiu,Kai aš verkiu,0.276,0.0766,0.654,0.0689,0.474,14,222.485
Trippie Redd,YELL OH,YELL OH,0.578,0.19,0.842,0.138,0.00419,64,236.779
Kabza De Small,Scorpion Kings Live,Phoyisa - Live,0.662,0.205,0.84,0.072,0.317,32,356.414
Red Velvet,RBB,RBB (Really Bad Boy),0.85,0.367,0.719,0.0317,0.012,48,188.786
Silent Sanctuary,Fuchsiang Pag-Ibig,Kundiman,0.571,0.454,0.335,0.0243,0.564,60,339.053
SFDK,Un Pobre Con Dinero,Un Pobre Con Dinero,0.764,0.531,0.792,0.254,0.104,58,205.111
Dizzy,Härifrån,Härifrån,0.439,0.532,0.791,0.17,0.34,58,190.909
Mor,מחזיק לי את היד,מחזיק לי את היד,0.434,0.167,0.703,0.0616,0.0678,42,214.599
Amanda Delara,Et lite stykke Norge,Nå er det oss,0.577,0.641,0.613,0.0608,0.333,54,175.373
Jhené Aiko,Chilombo,One Way St. (feat. Ab-Soul),0.598,0.365,0.384,0.153,0.168,60,174.333
Katja Krasavice,GUCCI GIRL,GUCCI GIRL,0.671,0.668,0.827,0.0394,0.392,45,163.195
Rocco Hunt,Libertà,Ti volevo dedicare (feat. J-AX & Boomdabash),0.725,0.271,0.754,0.0661,0.0104,73,208.133
Max Jenmana,ไวน์,ไวน์,0.575,0.191,0.531,0.0342,0.091,49,230.525
Tanel Padar,Tartust Pariis,Tartust Pariis,0.852,0.732,0.595,0.0499,0.0524,26,219.565
Gazapizm,Ölüler Dirilerden Çalacak,Ölüler Dirilerden Çalacak,0.791,0.592,0.677,0.0579,0.0505,20,276.444
Gemitaiz,Scatola Nera,Californication,0.527,0.293,0.821,0.0608,0.0602,51,185.6
MamboLosco,Arte,Sugo (feat. Nashley),0.489,0.524,0.668,0.204,0.244,43,180.533
GOT7,SPINNING TOP : BETWEEN SECURITY & INSECURITY,끝,0.835,0.656,0.706,0.168,0.0381,51,243.324
Reykon,Latina (feat. Maluma),Latina (feat. Maluma),0.713,0.75,0.826,0.129,0.0748,69,226.739
Jey,Como É Que Vamos Fazer?,Como É Que Vamos Fazer?,0.803,0.68,0.876,0.14,0.113,33,171.537
KC Rebell,Hasso,Für mich da,0.62,0.251,0.705,0.0732,0.516,43,194.084
Michele Zarrillo,Nell'estasi o nel fango,Nell'estasi o nel fango,0.864,0.39,0.7,0.043,0.0754,45,225.327
Shanguy,Désolée (Paris/Paname),Désolée (Paris/Paname),0.692,0.602,0.825,0.0627,0.172,61,207.821
Chance the Rapper,The Big Day,Hot Shower,0.509,0.599,0.899,0.387,0.00157,76,225.924
December Avenue,Sa Ngalan Ng Pag-Ibig,Sa Ngalan Ng Pag-Ibig,0.762,0.271,0.518,0.0305,0.0851,66,285.138
Jimmy P,Contigo,Contigo,0.658,0.896,0.731,0.242,0.532,37,191.21
Radikal Chef,FREERIDE 3,Drop Lord,0.689,0.278,0.695,0.138,0.221,26,214
Parazitii,Arma Secreta,Asta E Rap,0.774,0.808,0.889,0.322,0.181,30,215.049
Samey,XYZ,?,0.51,0.161,0.716,0.26,0.155,40,159.644
Morgan Sulele,Helt Ærlig,Helt Ærlig,0.864,0.616,0.64,0.051,0.11,60,168.511
Aniceto Molina,Embajador de Cumbia y Vallenato Clasico,Agua Loca,0.931,0.962,0.773,0.0527,0.293,20,202.36
Pop Pongkool,พรุ่งนี้ค่อย (Cheat Day),พรุ่งนี้ค่อย (Cheat Day),0.747,0.526,0.546,0.0624,0.378,51,239.286
Joe Arroyo,Sabor a Salsa,La rebelion,0.755,0.875,0.571,0.0735,0.142,68,376.013
KANG DANIEL,CYAN,2U,0.742,0.564,0.717,0.0688,0.0353,63,195.253
Sobel,Każdego Dnia,Każdego Dnia,0.258,0.651,0.834,0.223,0.931,59,185.714
Hooligan Hefs,F.A.M.E,F.A.M.E,0.748,0.625,0.853,0.189,0.172,20,235.141
Rachel Mason,Give You Everything,Give You Everything,0.757,0.131,0.234,0.0421,0.0165,41,256.8
Keko Salata,Tavallinen,Tavallinen,0.537,0.404,0.803,0.0564,0.673,40,231.791
Kaza,3.5.7,3.5.7,0.585,0.387,0.631,0.0658,0.35,52,175.4
Backstreet Boys,Backstreet Boys,As Long as You Love Me,0.816,0.753,0.775,0.0281,0.164,59,214.333
PNL,Dans la légende,Bené,0.7,0.769,0.784,0.108,0.491,61,190.067
Mads Langer,"All The Time, Sometimes",Flawless,0.598,0.502,0.744,0.0273,0.03,49,208.643
Samra,Jibrail & Iblis,Schüsse im Regen,0.815,0.538,0.775,0.243,0.115,58,152.213
3robi,Chouk (feat. 7Liwa),Chouk (feat. 7Liwa),0.66,0.663,0.776,0.361,0.166,36,202.723
The Toys,Stars,Stars,0.479,0.22,0.7,0.0315,0.295,47,164.571
Boro Purvi,SUPERBORO,Вс искат да са лоши,0.581,0.528,0.867,0.265,0.283,31,186.761
Sneazzy,NOUVO MODE,SANG FROID,0.644,0.307,0.841,0.232,0.536,49,184.413
Lefa,3 du mat,Paradise (feat. Lomepal),0.579,0.327,0.705,0.29,0.151,61,157.507
Ariff Bahran,Kata Akhirmu,Kata Akhirmu,0.527,0.434,0.434,0.0275,0.0877,42,252.677
Aldair Playboy,Amor Falso,Amor Falso,0.55,0.9,0.767,0.0554,0.279,55,177.816
Wally,Ensom,Ensom,0.66,0.257,0.582,0.0689,0.00549,33,153.983
Lacrim,Lacrim,26 décembre 1999,0.64,0.469,0.801,0.331,0.133,40,205.533
Al James,Repeat,Repeat,0.314,0.571,0.844,0.346,0.434,59,230
Childish Gambino,3.15.20,"12.38 (feat. 21 Savage, Ink & Kadhja Bonet)",0.524,0.41,0.691,0.16,0.197,69,392.187
Eden Hason,את חסרה לי,את חסרה לי,0.645,0.307,0.651,0.063,0.47,56,169.846
Bato,ICH HEBE MEIN GLAS,ICH HEBE MEIN GLAS,0.767,0.357,0.741,0.343,0.285,45,206.027
Luigi,Púlla Upp,Púlla Upp,0.83,0.704,0.819,0.172,0.229,0,146.163
Dua Lipa,Future Nostalgia,Break My Heart,0.729,0.467,0.73,0.0886,0.167,90,221.82
Svanhildur Jakobsdóttir,Jólin jólin,"Jólin, jólin",0.277,0.717,0.465,0.0886,0.748,2,145.357
Pritam,"Shayad (From ""Love Aaj Kal"")","Shayad (From ""Love Aaj Kal"")",0.456,0.348,0.487,0.0319,0.789,70,247.941
F,MÄ EN oo vIEL TARpEEks Iso,Piirrä kuvia,0.654,0.664,0.782,0.161,0.0305,28,186.702
Meet Bros.,"Kinna Sona (From ""Marjaavaan"")","Kinna Sona (From ""Marjaavaan"")",0.723,0.591,0.533,0.0614,0.283,60,273.926
Soobin Hoang Son,Between us,Between us - Vietnamese version,0.558,0.582,0.687,0.0309,0.409,39,186.699
Alan 1,Jupiter,I Wish,0.829,0.618,0.813,0.047,0.775,0,234.71
Big Toe,Wasser,Wasser,0.787,0.842,0.94,0.102,0.239,47,199.834
Katja Krasavice,CASINO,CASINO,0.489,0.542,0.794,0.084,0.279,59,201.548
Pamungkas,Walk The Talk,I Love You but I'm Letting Go,0.319,0.131,0.393,0.0303,0.972,70,220.163
Piruka,Até Já,Até Já,0.677,0.872,0.713,0.392,0.604,44,259.14
ScHoolboy Q,CHopstix (with Travis Scott),CHopstix (with Travis Scott),0.6,0.607,0.958,0.118,0.0391,0,181.153
Nekfeu,Les étoiles vagabondes : expansion,Les étoiles vagabondes,0.469,0.445,0.776,0.423,0.36,61,234.053
DA Uzi,Mexico,Wey wey wey,0.761,0.379,0.613,0.387,0.39,40,192.56
METRICKZ,Mufasa,Wünsch mir was,0.642,0.373,0.707,0.203,0.0491,58,195.859
FILV,BALENCIAGA,BALENCIAGA,0.754,0.192,0.676,0.131,0.00834,56,154.787
ZK,2000,Rosa,0.816,0.749,0.732,0.0931,0.313,37,161.75
Fredo,Third Avenue,Morning,0.542,0.3,0.553,0.344,0.0988,42,172.8
Chance the Rapper,The Big Day,We Go High,0.644,0.567,0.657,0.363,0.802,56,299.168
