id,track_name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity,album
7k4t7uLgtOxPwTpFmtJNTY,Tusa,KAROL G,0.803,0.715,2,-3.28,1,0.298,0.295,1.34e-4,0.0574,0.574,101.085,audio_features,spotify:track:7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/tracks/7k4t7uLgtOxPwTpFmtJNTY,https://api.spotify.com/v1/audio-analysis/7k4t7uLgtOxPwTpFmtJNTY,200960,4,92,Tusa
5stPVcRqb4qixbafP9e8lt,Hola - Remix,Dalex,0.654,0.672,0,-5.98,0,0.311,0.471,0,0.0781,0.343,181.857,audio_features,spotify:track:5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/tracks/5stPVcRqb4qixbafP9e8lt,https://api.spotify.com/v1/audio-analysis/5stPVcRqb4qixbafP9e8lt,249520,4,86,Hola (Remix)
6cy3ki60hLwimwIje7tALf,RITMO (Bad Boys For Life),Black Eyed Peas,0.721,0.716,10,-7.037,0,0.0657,0.0334,8.4e-4,0.237,0.667,104.994,audio_features,spotify:track:6cy3ki60hLwimwIje7tALf,https://api.spotify.com/v1/tracks/6cy3ki60hLwimwIje7tALf,https://api.spotify.com/v1/audio-analysis/6cy3ki60hLwimwIje7tALf,221714,4,88,RITMO (Bad Boys For Life)
6mAN61JH0dzyZpWslS11jy,Fantasias,Rauw Alejandro,0.879,0.703,1,-4.219,1,0.0701,0.143,0,0.0569,0.788,94.004,audio_features,spotify:track:6mAN61JH0dzyZpWslS11jy,https://api.spotify.com/v1/tracks/6mAN61JH0dzyZpWslS11jy,https://api.spotify.com/v1/audio-analysis/6mAN61JH0dzyZpWslS11jy,199711,4,85,Fantasias
6RyaV7owmVU6fzEPE17sF1,Que Tire Pa Lante,Daddy Yankee,0.658,0.901,7,-2.814,1,0.0357,0.0478,0,0.12,0.708,93.979,audio_features,spotify:track:6RyaV7owmVU6fzEPE17sF1,https://api.spotify.com/v1/tracks/6RyaV7owmVU6fzEPE17sF1,https://api.spotify.com/v1/audio-analysis/6RyaV7owmVU6fzEPE17sF1,210520,4,80,Que Tire Pa Lante
1rgnBhdG2JDFTbYkYRZAku,Dance Monkey,Tones And I,0.825,0.593,6,-6.401,0,0.0988,0.688,1.61e-4,0.17,0.54,98.078,audio_features,spotify:track:1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/tracks/1rgnBhdG2JDFTbYkYRZAku,https://api.spotify.com/v1/audio-analysis/1rgnBhdG2JDFTbYkYRZAku,209755,4,72,Dance Monkey
2ksOAxtIxY8yElEWw8RhgK,China,Anuel AA,0.786,0.808,7,-3.702,1,0.0882,0.0846,2.89e-4,0.0822,0.609,105.027,audio_features,spotify:track:2ksOAxtIxY8yElEWw8RhgK,https://api.spotify.com/v1/tracks/2ksOAxtIxY8yElEWw8RhgK,https://api.spotify.com/v1/audio-analysis/2ksOAxtIxY8yElEWw8RhgK,301714,4,85,China
1Xnn1TPyr5h0hpRAT4B4EA,Bellaquita - Remix,Dalex,0.795,0.715,1,-3.582,1,0.0838,0.141,2.12e-6,0.179,0.758,165.941,audio_features,spotify:track:1Xnn1TPyr5h0hpRAT4B4EA,https://api.spotify.com/v1/tracks/1Xnn1TPyr5h0hpRAT4B4EA,https://api.spotify.com/v1/audio-analysis/1Xnn1TPyr5h0hpRAT4B4EA,304733,4,78,Bellaquita (Remix)
4BCPItsB94KDLuERZT3aNM,Fresa,TINI,0.781,0.866,5,-3.493,0,0.0867,0.216,0,0.101,0.864,95.993,audio_features,spotify:track:4BCPItsB94KDLuERZT3aNM,https://api.spotify.com/v1/tracks/4BCPItsB94KDLuERZT3aNM,https://api.spotify.com/v1/audio-analysis/4BCPItsB94KDLuERZT3aNM,165646,4,73,Fresa
5DxXgozhkPLgrbKFY91w0c,Vete,Bad Bunny,0.886,0.672,1,-4.394,1,0.188,0.0363,8.78e-6,0.101,0.526,91.976,audio_features,spotify:track:5DxXgozhkPLgrbKFY91w0c,https://api.spotify.com/v1/tracks/5DxXgozhkPLgrbKFY91w0c,https://api.spotify.com/v1/audio-analysis/5DxXgozhkPLgrbKFY91w0c,192024,4,82,Vete
